Correct Answer,Test Answer,Expected Grade
autoshop.json,autoshop-0.json,0
autoshop.json,autoshop-1.json,0
autoshop.json,autoshop-10.json,0
autoshop.json,autoshop-11.json,0
autoshop.json,autoshop-12.json,0
autoshop.json,autoshop-2.json,0
autoshop.json,autoshop-3.json,0
autoshop.json,autoshop-4.json,0
autoshop.json,autoshop-5.json,0
autoshop.json,autoshop-6.json,0
autoshop.json,autoshop-7.json,0
autoshop.json,autoshop-8.json,0
autoshop.json,autoshop-9.json,0
banks.json,banks-1.json,0
banks.json,banks-2.json,0
banks.json,banks-3.json,0
banks.json,banks-4.json,0
banks.json,banks-5.json,0
banks.json,banks-6.json,0
claim.json,claim-1.json,0
claim.json,claim-2.json,0
claim.json,claim-3.json,0
claim.json,claim-4.json,0
claim.json,claim-5.json,0
claim.json,claim-6.json,0
congress.json,congress-1.json,0
congress.json,congress-2.json,0
congress.json,congress-3.json,0
congress.json,congress-4.json,0
congress.json,congress-5.json,0
congress.json,congress-6.json,0
drug.json,drug-1.json,0
drug.json,drug-2.json,0
drug.json,drug-3.json,0
drug.json,drug-4.json,0
drug.json,drug-5.json,0
drug.json,drug-6.json,0
fishstore.json,fishstore-1.json,0
game.json,game-1.json,0
